epoch,loss,acc
1,3.155004179666913,0.17770337301587302
2,2.189946238010649,0.3748217385912698
3,1.7865247612907773,0.4757641989087302
4,1.6120724791572207,0.52099609375
5,1.469620210783822,0.547882564484127
6,1.385143380316477,0.5642361111111112
7,1.326222906983088,0.5782877604166666
8,1.2760412664640517,0.5895802331349206
9,1.2299909284190527,0.6032288566468254
10,1.18705914654429,0.6159939236111112
11,1.1506235821852608,0.6268058655753969
12,1.1193740727409485,0.6366024925595238
13,1.0883772590803722,0.6460193452380952
14,1.0587068815079947,0.6545138888888888
15,1.0304557941262684,0.6632331969246031
16,1.0025074273820906,0.6714254712301587
17,0.9778531742474389,0.6803772941468254
18,0.9540806152517833,0.6887168278769841
19,0.931255377947338,0.6944909474206349
20,0.9077522210658543,0.7019856770833334
21,0.8856488418957543,0.709441654265873
22,0.8655830025672913,0.7161303323412699
23,0.8443100485536787,0.7225399925595238
24,0.8225733415474967,0.728577628968254
25,0.802950089886075,0.7349097842261905
26,0.7829458642573583,0.7427765376984127
27,0.7658957290270972,0.7470548115079365
28,0.7449554498233493,0.7551075768849206
29,0.7264383042615558,0.7609514508928571
30,0.7075738235125466,0.7648344494047619
31,0.6931508632879408,0.7701280381944444
32,0.6749121409560007,0.7765687003968254
33,0.659882653800268,0.7813740079365079
34,0.6469506734893435,0.7848772321428571
35,0.6331036757855188,0.7893492683531746
36,0.6196790630855258,0.7950303819444444
37,0.6064390608715633,0.7994714161706349
38,0.5886708658839029,0.8039046999007936
39,0.57549653971006,0.80859375
40,0.5676179738744856,0.812073722718254
41,0.5497909235575843,0.8175998263888888
42,0.5373541180576596,0.8208240327380952
43,0.5285207260222662,0.8231259300595238
44,0.5167397762101794,0.8283497643849206
45,0.5035256095348842,0.8315274677579365
46,0.4951954942847055,0.8343641493055556
47,0.48369466572526904,0.8381618923611112
48,0.47185579344393713,0.8429904513888888
49,0.4672313675520912,0.8437422495039683
50,0.4535364622161502,0.8476484995039683
51,0.4466890529507682,0.8501751612103174
52,0.43387383057011497,0.8547169518849206
53,0.42900275261629195,0.8559647817460317
54,0.41875440237067996,0.8595532614087301
55,0.4130308469609609,0.8613746279761905
56,0.405329854005859,0.8634285094246031
57,0.39579973547231584,0.8671332465277778
58,0.38813753118590705,0.8694196428571429
59,0.38219070056128124,0.8719153025793651
60,0.37361611236655523,0.8739149305555556
61,0.36964167725472225,0.8755657862103174
62,0.35857732050002566,0.8797200520833334
63,0.35513987640539807,0.8808826264880952
64,0.34949373087239644,0.8816731770833334
65,0.3424684093112037,0.8848586309523809
66,0.3370105761384207,0.8861452132936508
67,0.3310356681782102,0.8869590153769841
68,0.3280312700404061,0.8895011780753969
69,0.3201713085411087,0.8924386160714286
70,0.3174199355500085,0.8925548735119048
71,0.314474067990742,0.8930741567460317
72,0.31081789022400264,0.8944847470238095
73,0.30542458310013726,0.8964688740079365
74,0.3020035279175592,0.8983909970238095
75,0.29763605705802404,0.8991195436507936
76,0.2904814560971563,0.9016229538690477
77,0.2907058200429356,0.9006463913690477
78,0.2812387788343051,0.9041341145833334
79,0.279860858169813,0.9051494295634921
80,0.272579708742717,0.9085363963293651
81,0.27380614775040796,0.9080248635912699
82,0.2698832396713514,0.9085208953373016
83,0.2667629465697304,0.9087766617063492
84,0.2596363415793767,0.9117993551587301
85,0.26378429491841604,0.9109623015873016
86,0.257017276826359,0.9127139136904762
87,0.2536377516530809,0.9136904761904762
88,0.2471121647764766,0.9160001240079365
89,0.2485919301472013,0.916534908234127
90,0.2428046960442785,0.917449466765873
91,0.24141816369124822,0.9187980530753969
92,0.23992435823357294,0.9193095858134921
93,0.2367770378551786,0.920379154265873
94,0.2340972184661835,0.9208441840277778
95,0.23523694111241233,0.9210999503968254
96,0.23096983205704463,0.9212084573412699
97,0.22946541472559884,0.9224717881944444
98,0.2270855541740145,0.9227353050595238
99,0.22380681560626106,0.9241381448412699
100,0.22292869810074095,0.9249441964285714
